train_id,next_station,service,dest,source,timeStampParent,timeStamp1
3522,30th Street Station,LOCAL,Doylestown,Elwyn,2019-09-10 13:59:56,4/10/2016 13:11
3522,30th Street Station,LOCAL,Doylestown,Elwyn,2019-09-10 13:59:54,4/17/2016 13:11
3522,30th Street Station,LOCAL,Doylestown,Elwyn,2019-09-10 13:59:52,4/23/2016 13:16
3522,30th Street Station,LOCAL,Doylestown,Elwyn,2019-09-10 13:59:50,4/24/2016 13:15
3522,30th Street Station,LOCAL,Doylestown,Elwyn,2019-09-10 13:59:48,4/30/2016 13:16
3522,30th Street Station,LOCAL,Doylestown,Elwyn,2019-09-10 13:59:46,5/1/2016 13:16
3522,30th Street Station,LOCAL,Doylestown,Elwyn,2019-09-10 13:59:44,5/14/2016 13:10
3522,30th Street Station,LOCAL,Doylestown,Elwyn,2019-09-10 13:59:42,5/21/2016 13:11
3522,30th Street Station,LOCAL,Doylestown,Elwyn,2019-09-10 13:59:40,5/22/2016 13:10
3522,30th Street Station,LOCAL,Doylestown,Elwyn,2019-09-10 13:59:38,6/12/2016 13:11
3522,30th Street Station,LOCAL,Doylestown,Elwyn,2019-09-10 13:59:36,9/8/2016 13:11
3522,30th Street Station,LOCAL,Doylestown,Elwyn,2019-09-10 13:59:34,9/10/2016 13:11
3522,30th Street Station,LOCAL,Doylestown,Elwyn,2019-09-10 13:59:32,9/11/2016 13:07
3522,30th Street Station,LOCAL,Doylestown,Elwyn,2019-09-10 13:59:30,9/12/2016 13:11
